id,host_id,host_name,latitude,longitude,room_type,price,minimum_nights,last_review,calculated_host_listings_count,availability_365
44527209,12761106,Georgia,51.562,-0.10454,Entire home/apt,160.00 ,4,2020/10/25,1,0
44527514,302722742,Charles Hope,51.47072,-0.35221,Entire home/apt,214.00 ,2,2021/7/10,15,342
44528216,228878622,Swapnil,51.60037,-0.28387,Entire home/apt,150.00 ,1,2020/12/2,4,40
44531350,6160223,Alexandra,51.56202,-0.13964,Entire home/apt,149.00 ,2,2021/7/30,2,31
44531353,39225820,Stayo,51.50296,-0.11164,Entire home/apt,190.00 ,1,2021/8/31,9,222
44531941,39225820,Stayo,51.50329,-0.11091,Entire home/apt,160.00 ,1,2021/7/4,9,233
44532241,39225820,Stayo,51.50299,-0.10959,Entire home/apt,160.00 ,1,2021/4/4,9,194
44533534,127162043,Bob,51.53877,-0.15751,Entire home/apt,71.00 ,3,2020/11/8,18,0
44533950,360228853,Tijana,51.52897,-0.11722,Entire home/apt,85.00 ,2,2020/11/7,1,0
44536698,7625804,Joanna,51.43132,-0.17315,Entire home/apt,110.00 ,20,2020/11/30,1,0
44536792,360289641,Katherine,51.44929,-0.1903,Entire home/apt,170.00 ,1,2021/4/11,1,302
44537951,11858731,Dessy,51.54617,-0.05061,Entire home/apt,85.00 ,5,2021/8/15,1,0
44541883,2248636,Barney,51.49055,-0.02306,Entire home/apt,55.00 ,2,2020/10/13,1,0
44544617,127162043,Bob,51.54025,-0.15647,Entire home/apt,150.00 ,3,2021/1/1,18,0
44544626,39225820,Stayo,51.5018,-0.11116,Entire home/apt,183.00 ,1,2021/7/18,9,242
44544807,39225820,Stayo,51.50126,-0.11034,Entire home/apt,175.00 ,1,2021/8/15,9,142
44544936,12454890,Paula,51.42802,-0.17596,Entire home/apt,101.00 ,2,2021/8/13,3,1
44545198,39225820,Stayo,51.50133,-0.1112,Entire home/apt,175.00 ,1,2021/7/15,9,220
44545421,8957895,Roddy,51.53145,-0.09239,Entire home/apt,115.00 ,1,2021/5/23,1,365
44545732,302722742,Charles Hope,51.46996,-0.354,Entire home/apt,133.00 ,2,2021/6/28,15,331
44546271,360445788,Shane,51.52411,-0.06719,Entire home/apt,120.00 ,2,2021/2/2,1,0
44547094,59676361,Mika,51.54079,-0.09342,Private room,50.00 ,1,2020/10/12,2,1
44547419,57989340,Gareth,51.55165,-0.22263,Private room,27.00 ,2,2021/8/17,39,41
44547910,360465965,Heather,51.48571,-0.11729,Entire home/apt,90.00 ,5,2021/7/18,1,0
44548325,7068387,Carolina,51.50307,-0.2767,Private room,22.00 ,1,2021/8/16,3,7
44548387,349591259,H Sh,51.51902,-0.1574,Private room,35.00 ,30,2021/1/8,3,325
44548646,7258144,Biljana,51.48516,-0.2718,Private room,37.00 ,2,2021/7/27,2,153
44549297,2125620,Altido,51.49985,-0.08724,Entire home/apt,210.00 ,3,2021/5/7,56,0
44549530,53323515,Paris Perfect,51.50102,-0.18988,Entire home/apt,772.00 ,5,2021/8/21,8,205
44549550,359492288,The Collective Canary Wharf,51.49658,-0.01403,Entire home/apt,234.00 ,1,2021/8/3,3,356
44549986,271529792,Pasante,51.51012,0.1191,Entire home/apt,100.00 ,2,2021/8/23,2,356
44550264,314162972,Blueground,51.518417,-0.139284,Entire home/apt,166.00 ,30,2021/3/22,68,15
44550853,359485971,George,51.47629,-0.05991,Entire home/apt,113.00 ,2,2020/10/7,1,0
